model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Make
 Q3,,16900.0,Automatic,40501.0,Diesel,150.0,51.4,2.0,audi
,2014.0,12300.0,Automatic,43195.0,Diesel,200.0,47.9,2.0,audi
 A1,2017.0,10800.0,Manual,31447.0,Petrol,145.0,67.3,1.0,audi
 A6,2016.0,19400.0,Automatic,34030.0,Diesel,125.0,58.9,2.0,audi
 A4,2017.0,16000.0,Manual,29063.0,Diesel,145.0,70.6,2.0,audi
,2017.0,17100.0,Manual,29545.0,Diesel,145.0,65.7,2.0,audi
 A3,2015.0,11300.0,Manual,75619.0,Diesel,20.0,68.9,,audi
 Q3,2016.0,17200.0,Automatic,39603.0,Diesel,160.0,50.4,2.0,
 Q3,2017.0,20300.0,Automatic,42908.0,Diesel,145.0,51.4,2.0,audi
 A5,2014.0,13200.0,Automatic,,Diesel,125.0,58.9,2.0,audi
 Q3,2016.0,15200.0,Automatic,58750.0,Petrol,145.0,47.9,,audi
 A3,2019.0,15700.0,Manual,2029.0,Petrol,145.0,49.6,1.0,audi
 A6,2018.0,16600.0,Automatic,22958.0,Petrol,145.0,50.4,1.8,audi
 A4,2017.0,14400.0,Automatic,32097.0,Diesel,145.0,72.4,2.0,audi
 A5,2017.0,20200.0,Automatic,13057.0,Petrol,145.0,53.3,2.0,audi
 S4,2017.0,23700.0,Automatic,20278.0,Petrol,145.0,38.7,3.0,
 A4,2016.0,12750.0,Manual,52561.0,Diesel,0.0,74.3,2.0,audi
 A6,2015.0,13000.0,Automatic,,Diesel,20.0,,2.0,
 Q3,2016.0,15900.0,Manual,32011.0,Petrol,145.0,49.6,,audi
 Q3,2016.0,15000.0,Manual,39134.0,Diesel,,60.1,2.0,audi
 Q5,2015.0,14700.0,Automatic,89483.0,Diesel,205.0,47.1,2.0,
 A3,2015.0,15000.0,Automatic,56291.0,Petrol,200.0,42.8,1.8,audi
 A6,2016.0,16000.0,Automatic,47767.0,Diesel,20.0,61.4,2.0,audi
 A1,2014.0,11000.0,Manual,34315.0,Petrol,,53.3,1.4,audi
 A3,2016.0,,Manual,66369.0,Diesel,0.0,83.1,1.6,
 A6,2016.0,18500.0,Manual,34110.0,Diesel,30.0,61.4,2.0,audi
 A1,2013.0,7000.0,Manual,76269.0,Diesel,0.0,74.3,1.6,audi
 A3,2016.0,10600.0,Manual,37840.0,Diesel,20.0,70.6,1.6,audi
 A3,2017.0,16000.0,Manual,26249.0,Diesel,30.0,67.3,1.6,audi
 Q3,2017.0,15000.0,Manual,44898.0,Diesel,125.0,57.7,2.0,audi
 Q3,2017.0,14000.0,Manual,67161.0,Petrol,150.0,51.4,1.4,audi
 A3,2018.0,18950.0,Manual,17992.0,Petrol,,54.3,1.5,
 A4,2016.0,10200.0,Manual,97440.0,Diesel,20.0,70.6,2.0,audi
 A1,2017.0,11700.0,Manual,19268.0,Petrol,150.0,67.3,1.0,audi
 A3,2013.0,11500.0,Automatic,51441.0,Petrol,125.0,50.4,1.8,audi
 A1,2016.0,10800.0,Manual,18181.0,Petrol,0.0,,,audi
 A3,2016.0,12500.0,Manual,19494.0,Diesel,30.0,67.3,2.0,audi
 A6,2016.0,16600.0,Manual,32808.0,Diesel,30.0,61.4,2.0,audi
 A3,2017.0,13100.0,Manual,25965.0,Diesel,145.0,65.7,2.0,
 A3,2016.0,8300.0,Manual,88215.0,Diesel,20.0,68.9,2.0,audi
 A3,2019.0,16000.0,Manual,5704.0,Petrol,145.0,49.6,1.0,audi
 A4,2017.0,16900.0,,10959.0,Petrol,145.0,,1.4,audi
 Q5,2016.0,19600.0,Automatic,30201.0,Diesel,200.0,47.1,2.0,audi
 Q3,2017.0,21800.0,Automatic,19319.0,Petrol,145.0,40.4,2.0,audi
 A6,2017.0,16200.0,Manual,22582.0,Diesel,145.0,61.4,2.0,audi
 A5,2017.0,18700.0,Manual,20052.0,Petrol,145.0,49.6,2.0,audi
 Q3,2016.0,16100.0,Manual,16666.0,Diesel,30.0,60.1,2.0,audi
 A3,2016.0,11300.0,,25626.0,,0.0,74.3,1.6,audi
 A3,2016.0,14100.0,Manual,10460.0,Petrol,20.0,60.1,1.4,audi
 A6,2016.0,16600.0,Automatic,43307.0,Diesel,125.0,57.6,2.0,audi
 A1,2017.0,11300.0,Manual,29327.0,Petrol,30.0,55.4,1.4,audi
 Q3,2017.0,15600.0,Manual,36714.0,Petrol,125.0,51.4,1.4,audi
 A1,2014.0,10000.0,Manual,28324.0,Petrol,125.0,53.3,1.4,audi
 A1,2016.0,14500.0,Manual,12100.0,Petrol,30.0,56.5,1.4,audi
,2017.0,16100.0,Manual,18001.0,Diesel,145.0,62.8,2.0,audi
 A1,2016.0,10600.0,Manual,28760.0,Petrol,30.0,55.4,1.4,audi
 A3,2019.0,25499.0,Semi-Auto,4000.0,Petrol,145.0,44.1,1.5,audi
 Q2,2019.0,25499.0,Semi-Auto,7897.0,Diesel,145.0,47.9,2.0,audi
 A6,2016.0,15500.0,Automatic,24744.0,Diesel,125.0,56.5,3.0,audi
 Q3,2015.0,16200.0,Automatic,30075.0,Diesel,160.0,51.4,2.0,audi
 A1,2017.0,14000.0,Manual,12577.0,Petrol,30.0,58.9,1.4,audi
 A6,2016.0,17300.0,Automatic,24421.0,Diesel,30.0,61.4,,
 A1,2016.0,10600.0,Manual,15567.0,Diesel,0.0,76.3,1.6,audi
 A4,2018.0,17500.0,Manual,15207.0,Petrol,145.0,51.4,,audi
 A4,2017.0,15000.0,Manual,14864.0,Petrol,145.0,52.3,1.4,audi
 A4,2019.0,25499.0,Semi-Auto,,Petrol,145.0,38.7,2.0,audi
 A4,2019.0,25000.0,Manual,5000.0,,145.0,38.7,2.0,audi
 Q2,2019.0,31000.0,Semi-Auto,4264.0,Petrol,145.0,33.2,2.0,audi
 Q3,2019.0,28000.0,Manual,4000.0,Diesel,145.0,42.8,2.0,audi
 Q3,2019.0,28000.0,Manual,4000.0,Petrol,145.0,42.2,1.5,audi
 Q2,2019.0,21499.0,Manual,2721.0,Diesel,145.0,49.6,1.6,audi
 Q2,2019.0,26000.0,Semi-Auto,4000.0,Petrol,145.0,42.2,1.5,audi
 Q5,2016.0,30000.0,Semi-Auto,49649.0,Diesel,235.0,42.2,3.0,audi
 A4,2017.0,17000.0,Manual,14068.0,Petrol,145.0,51.4,1.4,audi
 A4,2017.0,14500.0,Manual,23092.0,Petrol,145.0,52.3,1.4,audi
 Q3,2017.0,17500.0,Automatic,30682.0,Diesel,160.0,50.4,2.0,audi
 A1,,10500.0,Manual,18272.0,Petrol,0.0,67.3,1.0,audi
 Q2,2017.0,14800.0,Automatic,23714.0,Diesel,145.0,,1.6,audi
 A6,2016.0,12000.0,,71311.0,Diesel,30.0,61.4,2.0,audi
 A6,2018.0,22000.0,Automatic,29477.0,Diesel,145.0,61.4,2.0,audi
,2016.0,17800.0,Automatic,60551.0,Diesel,200.0,47.1,2.0,audi
 A6,2017.0,19800.0,,42071.0,Diesel,30.0,61.4,2.0,audi
 A7,,19500.0,Automatic,55774.0,,235.0,44.8,3.0,audi
 A1,,9800.0,Manual,36462.0,Diesel,0.0,76.3,1.6,audi
 A3,2016.0,15500.0,Manual,25376.0,Petrol,30.0,57.6,1.4,audi
 A4,,16800.0,,39388.0,Diesel,145.0,67.3,2.0,audi
 A3,2017.0,11500.0,Manual,64207.0,,20.0,67.3,2.0,audi
 A1,2017.0,12100.0,Manual,49221.0,Petrol,145.0,55.4,1.4,audi
 A1,2017.0,12700.0,,27179.0,Diesel,0.0,76.3,1.6,
 A4,2014.0,11700.0,Manual,31376.0,Diesel,,58.9,2.0,audi
,2015.0,11500.0,Automatic,62668.0,Diesel,145.0,53.3,2.0,audi
 A4,2017.0,17400.0,Manual,10001.0,Petrol,145.0,51.4,1.4,audi
 A6,2016.0,16000.0,Automatic,52544.0,Diesel,30.0,61.4,2.0,audi
,,13100.0,Manual,63097.0,Petrol,125.0,49.6,2.0,audi
,2016.0,14700.0,,72967.0,Diesel,30.0,61.4,2.0,audi
 A5,2017.0,21100.0,Automatic,32771.0,Diesel,145.0,70.6,2.0,audi
 Q3,2018.0,24400.0,Automatic,13303.0,Petrol,145.0,40.4,2.0,audi
 A3,2019.0,18750.0,Manual,2752.0,Petrol,145.0,44.8,1.5,audi
 Q3,2016.0,16500.0,Manual,23307.0,Diesel,160.0,49.6,2.0,audi
 A1,2017.0,11000.0,Manual,34551.0,Petrol,150.0,67.3,1.0,audi
 A3,2017.0,13400.0,Manual,25457.0,Diesel,150.0,,1.6,audi
 Q2,2018.0,20000.0,Manual,12167.0,Petrol,150.0,50.4,1.4,audi
 A6,2015.0,15400.0,Automatic,23237.0,Diesel,20.0,67.3,2.0,audi
 Q3,2016.0,15500.0,Automatic,11863.0,Diesel,160.0,50.4,2.0,audi
 A4,2017.0,14800.0,Manual,21225.0,Diesel,145.0,72.4,2.0,audi
 A6,2015.0,17100.0,Automatic,32083.0,Diesel,30.0,61.4,2.0,audi
 Q5,2017.0,25750.0,Automatic,17039.0,Diesel,,55.4,2.0,audi
 A4,2016.0,11750.0,Manual,72026.0,Diesel,0.0,74.3,2.0,
 A1,2017.0,11200.0,Manual,34824.0,Petrol,0.0,67.3,1.0,audi
 A1,2017.0,12800.0,Manual,20351.0,Petrol,30.0,55.4,1.4,audi
 A4,2017.0,16000.0,Automatic,58028.0,Petrol,145.0,52.3,2.0,audi
 A5,2017.0,20000.0,Automatic,44783.0,Diesel,145.0,62.8,2.0,audi
 A4,2014.0,11950.0,Manual,60604.0,Diesel,20.0,67.3,2.0,audi
 A4,2013.0,9400.0,Manual,39998.0,Diesel,30.0,65.7,2.0,audi
 A4,2017.0,20000.0,Automatic,20852.0,Diesel,30.0,,2.0,audi
 A6,2016.0,13300.0,Manual,79728.0,Diesel,30.0,64.2,2.0,audi
 A6,2017.0,18500.0,Automatic,29095.0,Diesel,20.0,64.2,2.0,audi
 A3,2013.0,8300.0,Manual,98940.0,Diesel,0.0,74.3,1.6,audi
 A1,,13500.0,Manual,22780.0,Petrol,30.0,58.9,1.4,audi
 A5,2018.0,19800.0,Manual,20832.0,Petrol,150.0,47.1,2.0,audi
 Q3,2016.0,15400.0,Automatic,29196.0,Diesel,145.0,55.4,2.0,audi
 A4,2017.0,13900.0,Manual,14392.0,Petrol,145.0,53.3,1.4,audi
 A4,2018.0,15600.0,Manual,20070.0,Petrol,145.0,52.3,1.4,audi
 A6,2016.0,16200.0,Automatic,89334.0,Diesel,30.0,62.8,3.0,audi
 A1,2016.0,10600.0,Manual,21428.0,Petrol,0.0,67.3,1.0,
 A4,2016.0,14300.0,Manual,45485.0,Diesel,20.0,70.6,2.0,audi
 Q3,2016.0,14700.0,Manual,32704.0,Diesel,30.0,60.1,2.0,audi
 Q3,2018.0,19100.0,Automatic,42209.0,Petrol,145.0,42.2,2.0,audi
 A4,2017.0,18100.0,Manual,17278.0,Petrol,145.0,48.7,1.4,audi
 A1,2017.0,11400.0,Manual,29515.0,Petrol,0.0,67.3,1.0,audi
 A3,2014.0,11600.0,Manual,43662.0,Diesel,20.0,67.3,2.0,audi
 A4,2017.0,17300.0,Automatic,45225.0,Diesel,145.0,62.8,2.0,audi
 A6,2017.0,16400.0,Manual,45491.0,Diesel,30.0,61.4,2.0,audi
 Q5,2014.0,17100.0,Manual,52267.0,,235.0,37.7,2.0,audi
 A3,2014.0,11498.0,Semi-Auto,40807.0,Petrol,125.0,50.4,1.8,audi
 Q3,2014.0,11698.0,Manual,65959.0,Diesel,160.0,49.6,2.0,
 Q5,2014.0,18998.0,Semi-Auto,47648.0,Petrol,260.0,35.8,2.0,audi
 Q5,2017.0,25498.0,Semi-Auto,27948.0,Petrol,145.0,40.9,2.0,audi
 A4,2013.0,10498.0,Manual,31169.0,Petrol,145.0,49.6,1.8,audi
 A4,2013.0,9498.0,Automatic,42011.0,Petrol,145.0,47.1,2.0,audi
 A6,,19998.0,Semi-Auto,56115.0,Diesel,160.0,50.4,3.0,audi
 A6,2015.0,16798.0,Semi-Auto,65835.0,Diesel,125.0,61.4,2.0,audi
,2017.0,23998.0,Semi-Auto,63383.0,Diesel,145.0,45.6,,audi
 Q5,2017.0,36998.0,Semi-Auto,34011.0,Petrol,145.0,34.0,3.0,audi
 A5,2014.0,13998.0,Semi-Auto,52132.0,Diesel,160.0,49.6,3.0,audi
 A4,2015.0,15995.0,Manual,38787.0,Diesel,145.0,55.4,2.0,audi
 A1,2017.0,13495.0,Manual,,Petrol,150.0,55.4,1.4,audi
 Q5,2017.0,30985.0,Semi-Auto,17502.0,Petrol,145.0,40.4,2.0,
 TT,2019.0,29485.0,Automatic,3000.0,Petrol,145.0,40.9,2.0,audi
 A6,2015.0,,Manual,34646.0,Diesel,,61.4,2.0,
 Q5,2017.0,26485.0,Semi-Auto,18000.0,Diesel,150.0,56.5,2.0,audi
 Q3,2018.0,23985.0,Semi-Auto,17085.0,Petrol,150.0,47.9,1.4,audi
 A1,2017.0,12485.0,Manual,48166.0,Diesel,20.0,72.4,1.6,audi
 Q5,2015.0,22485.0,Semi-Auto,38421.0,Diesel,205.0,47.1,2.0,audi
 A5,,16498.0,Manual,46637.0,Diesel,30.0,61.4,2.0,audi
 A3,2016.0,11998.0,Manual,24468.0,Diesel,0.0,74.3,1.6,audi
 Q5,,24985.0,Automatic,29343.0,Diesel,200.0,47.1,2.0,audi
 A3,2019.0,17985.0,Manual,8449.0,Diesel,145.0,51.4,1.6,audi
 A5,2017.0,20485.0,Manual,34679.0,Diesel,30.0,65.7,2.0,audi
 A3,2018.0,16985.0,Semi-Auto,23860.0,Petrol,145.0,60.1,1.0,audi
 A4,2018.0,30985.0,Automatic,21009.0,Petrol,145.0,,3.0,audi
 A6,2019.0,29985.0,Automatic,1881.0,Diesel,145.0,47.9,2.0,audi
 A6,2019.0,27985.0,Semi-Auto,688.0,Diesel,145.0,47.9,,audi
 A6,2019.0,30985.0,Automatic,1863.0,Diesel,145.0,47.9,2.0,audi
 Q7,,62985.0,Semi-Auto,,Diesel,145.0,33.2,3.0,audi
 RS6,2016.0,44985.0,Semi-Auto,49050.0,Petrol,325.0,29.4,4.0,audi
 A4,2019.0,28985.0,Semi-Auto,1024.0,Petrol,145.0,38.7,2.0,audi
 A4,2019.0,24985.0,Semi-Auto,448.0,Petrol,145.0,39.8,2.0,audi
 A4,2019.0,26985.0,Semi-Auto,476.0,Petrol,145.0,39.2,2.0,audi
 A7,2019.0,39985.0,Automatic,5201.0,Diesel,145.0,38.7,3.0,audi
 A3,2019.0,21985.0,,2028.0,Petrol,145.0,42.2,1.5,audi
 A6,2019.0,45485.0,Automatic,3241.0,Diesel,145.0,39.2,3.0,audi
 Q5,2019.0,33985.0,Automatic,355.0,Diesel,145.0,39.2,2.0,
 A5,2019.0,28985.0,Automatic,18.0,Petrol,145.0,39.8,2.0,
 A3,2019.0,,Automatic,3122.0,Petrol,145.0,41.5,1.5,
 Q2,2019.0,28985.0,Manual,824.0,Petrol,145.0,40.9,1.5,audi
 A6,2019.0,31985.0,Semi-Auto,2811.0,Diesel,145.0,47.9,2.0,audi
 A6,2019.0,31985.0,Semi-Auto,27.0,Diesel,,50.4,2.0,audi
,2019.0,29485.0,Semi-Auto,4254.0,,145.0,38.2,2.0,audi
 A1,2019.0,17985.0,Semi-Auto,2252.0,,145.0,48.7,1.0,audi
 Q2,2019.0,20985.0,Automatic,3422.0,Diesel,145.0,47.9,1.6,audi
 Q2,2019.0,23685.0,Automatic,37.0,Diesel,145.0,47.9,1.6,audi
 A4,2019.0,27985.0,Semi-Auto,7299.0,Petrol,145.0,38.2,2.0,audi
 Q2,2019.0,27985.0,Semi-Auto,1414.0,Petrol,145.0,40.9,1.5,audi
 Q5,2019.0,36985.0,Automatic,5135.0,Diesel,145.0,38.2,2.0,audi
 Q5,2019.0,37985.0,Automatic,6024.0,Diesel,145.0,38.2,2.0,audi
 Q5,2020.0,37985.0,Semi-Auto,10.0,Petrol,145.0,32.1,2.0,audi
 Q7,2019.0,,Automatic,,Diesel,145.0,33.2,3.0,audi
 Q7,2019.0,59995.0,Automatic,10.0,Diesel,145.0,33.2,3.0,audi
 Q5,2020.0,47895.0,Semi-Auto,10.0,Petrol,145.0,30.7,2.0,audi
 A4,2020.0,31985.0,Semi-Auto,10.0,,145.0,42.2,2.0,audi
 Q7,2015.0,29985.0,Automatic,47606.0,Diesel,200.0,47.9,3.0,audi
,2015.0,12485.0,Semi-Auto,26625.0,Petrol,30.0,57.6,1.4,audi
 A5,2018.0,24985.0,Automatic,5071.0,Petrol,145.0,50.4,2.0,audi
 A5,2015.0,21985.0,Semi-Auto,28011.0,Petrol,,34.9,3.0,audi
 Q3,2019.0,34985.0,Automatic,10.0,Diesel,145.0,47.1,,audi
 A5,2019.0,29985.0,Automatic,10.0,Diesel,145.0,51.4,2.0,audi
 Q3,2019.0,34485.0,Automatic,10.0,Diesel,145.0,47.1,,audi
 A1,2019.0,19685.0,Manual,10.0,Petrol,145.0,49.6,1.0,audi
 A4,2019.0,34985.0,Automatic,10.0,Diesel,145.0,53.3,2.0,audi
 A7,2019.0,43885.0,,10.0,Diesel,145.0,38.2,3.0,audi
 A6,2019.0,35895.0,Automatic,2000.0,Diesel,145.0,47.9,2.0,audi
 Q2,2019.0,26985.0,Automatic,10.0,Petrol,145.0,43.5,1.5,audi
 A6,2019.0,46985.0,Automatic,3510.0,Diesel,145.0,36.2,,audi
 A3,2019.0,,,10.0,Petrol,145.0,44.8,1.5,audi
 A5,2019.0,28985.0,Automatic,10.0,Petrol,145.0,39.8,2.0,audi
 A5,2019.0,27985.0,Automatic,1010.0,Petrol,145.0,39.8,2.0,audi
 A6,2019.0,28985.0,Semi-Auto,500.0,Diesel,145.0,47.9,2.0,audi
 A4,2019.0,29985.0,Automatic,10.0,Petrol,145.0,42.8,2.0,audi
 A3,2019.0,21995.0,Manual,10.0,Diesel,145.0,54.3,1.6,audi
 A5,2019.0,31985.0,Automatic,10.0,Petrol,,39.8,2.0,audi
 A5,2019.0,32485.0,Automatic,10.0,Diesel,145.0,51.4,2.0,audi
 A3,2019.0,21285.0,,10.0,Diesel,145.0,51.4,1.6,audi
 Q7,2019.0,56985.0,Automatic,1510.0,Diesel,145.0,33.2,3.0,
 RS3,,43785.0,Semi-Auto,10.0,Petrol,145.0,30.1,2.5,audi
 A4,2016.0,18498.0,Semi-Auto,29845.0,Petrol,160.0,45.6,2.0,audi
 A3,2014.0,14995.0,Semi-Auto,,Petrol,,42.8,1.8,audi
 A4,2016.0,17998.0,Manual,20885.0,Diesel,30.0,64.2,2.0,audi
 A3,2014.0,10985.0,Automatic,10534.0,Petrol,30.0,56.5,1.2,audi
,2016.0,12995.0,Manual,25895.0,,,70.6,2.0,
 A1,2016.0,11495.0,,32867.0,Petrol,0.0,67.3,1.0,audi
 Q5,2015.0,18295.0,,42793.0,Diesel,205.0,47.1,2.0,audi
 A6,2015.0,18998.0,Semi-Auto,49039.0,Diesel,160.0,50.4,,audi
 Q2,2017.0,18485.0,Manual,22501.0,Diesel,145.0,64.2,1.6,audi
 A8,2017.0,38985.0,Automatic,1420.0,Diesel,145.0,50.4,3.0,audi
 A5,2019.0,29485.0,Automatic,10.0,Petrol,145.0,40.4,2.0,audi
 A5,,22998.0,Semi-Auto,26939.0,Diesel,145.0,62.8,2.0,audi
 A8,2014.0,18998.0,,24786.0,Diesel,205.0,,3.0,audi
 A4,2017.0,17698.0,Manual,18761.0,Petrol,145.0,51.4,1.4,audi
 A5,2019.0,27995.0,Automatic,10.0,Petrol,145.0,40.4,2.0,audi
 Q3,2019.0,31985.0,Manual,10.0,Diesel,145.0,42.8,2.0,audi
 A4,2019.0,30995.0,Automatic,10.0,Petrol,145.0,38.7,2.0,
 A3,2017.0,18998.0,Semi-Auto,22295.0,Petrol,30.0,56.5,1.4,audi
,2017.0,16995.0,Manual,18068.0,Petrol,145.0,52.3,1.4,audi
 A3,2018.0,19995.0,Manual,25000.0,Petrol,150.0,42.2,1.5,audi
 Q2,2017.0,14495.0,Manual,23043.0,Petrol,150.0,55.4,1.0,audi
 A5,2014.0,12998.0,Semi-Auto,80902.0,Diesel,125.0,60.1,2.0,audi
 A4,2019.0,32485.0,Automatic,10.0,Diesel,145.0,50.4,2.0,audi
 A1,2019.0,20485.0,Manual,10.0,Petrol,145.0,48.7,1.0,audi
 Q3,2019.0,34485.0,Automatic,10.0,Diesel,145.0,47.1,2.0,audi
,2016.0,18698.0,Manual,26474.0,Diesel,,52.3,2.0,audi
 Q5,2013.0,15998.0,Semi-Auto,,Diesel,235.0,44.1,3.0,audi
 TT,2018.0,16498.0,Manual,34170.0,Petrol,150.0,47.1,1.8,audi
 Q5,2019.0,31998.0,Semi-Auto,100.0,Petrol,145.0,33.2,2.0,audi
 Q3,2019.0,35985.0,Automatic,650.0,Diesel,145.0,47.1,2.0,audi
 Q5,2019.0,37985.0,Automatic,10.0,Diesel,145.0,38.2,2.0,audi
 Q5,2019.0,31998.0,Semi-Auto,10.0,Petrol,145.0,33.2,2.0,audi
 A4,2019.0,18998.0,Manual,2928.0,Petrol,145.0,41.5,2.0,audi
 Q3,2018.0,19485.0,Manual,7157.0,Petrol,145.0,,1.4,audi
 Q3,2016.0,19995.0,Semi-Auto,31600.0,Diesel,160.0,50.4,2.0,audi
 Q7,2016.0,47995.0,Semi-Auto,46600.0,Diesel,300.0,39.2,4.0,audi
 A3,2019.0,23485.0,Manual,10.0,Diesel,,56.5,2.0,audi
 A5,2018.0,23998.0,,14078.0,Petrol,145.0,45.6,2.0,audi
 A5,2015.0,17998.0,Manual,13312.0,Diesel,125.0,57.6,2.0,audi
 A6,2018.0,28985.0,Semi-Auto,10.0,Diesel,145.0,50.4,,audi
 RS6,2015.0,46000.0,Semi-Auto,20982.0,Petrol,325.0,29.4,4.0,audi
 A6,2018.0,26995.0,Semi-Auto,15600.0,Diesel,145.0,50.4,2.0,audi
 A6,2019.0,33985.0,Automatic,5429.0,Diesel,145.0,47.9,2.0,audi
 Q2,2019.0,30985.0,Automatic,2710.0,Petrol,145.0,40.9,1.5,audi
 Q7,2019.0,52985.0,Automatic,6423.0,Diesel,145.0,33.2,3.0,audi
 A1,2017.0,12698.0,Manual,11017.0,Petrol,150.0,67.3,1.0,audi
 Q3,2017.0,17298.0,Manual,16908.0,Petrol,125.0,51.4,1.4,audi
 A4,2017.0,16498.0,Manual,28801.0,Petrol,125.0,49.6,2.0,audi
 A4,2017.0,16798.0,Manual,23362.0,Petrol,145.0,50.4,1.4,audi
 Q5,,15998.0,Manual,50025.0,Petrol,235.0,37.7,2.0,audi
 Q8,2018.0,63985.0,Semi-Auto,8450.0,Diesel,145.0,32.8,3.0,audi
 A6,2018.0,27985.0,Semi-Auto,1790.0,Diesel,145.0,50.4,2.0,audi
 A4,2018.0,19485.0,Semi-Auto,10.0,Petrol,145.0,53.3,1.4,audi
 A4,2018.0,20985.0,Manual,10.0,Petrol,145.0,52.3,1.4,audi
 A3,2018.0,22285.0,Automatic,6754.0,Diesel,145.0,52.3,1.6,audi
 Q3,2014.0,,Semi-Auto,35423.0,Diesel,200.0,47.9,2.0,audi
 A3,2017.0,25000.0,Semi-Auto,,Petrol,200.0,41.5,2.0,audi
 Q3,2017.0,15800.0,Manual,37203.0,Petrol,125.0,51.4,1.4,audi
 A3,2013.0,13500.0,,44405.0,Diesel,125.0,,2.0,audi
 Q3,2014.0,12000.0,Manual,79389.0,Diesel,165.0,50.4,2.0,audi
 A3,2015.0,13800.0,Semi-Auto,61808.0,Diesel,125.0,57.6,2.0,audi
 A1,2016.0,11000.0,Manual,10491.0,Petrol,,67.3,1.0,audi
 A3,2018.0,19995.0,Manual,19000.0,Petrol,,49.6,2.0,audi
 A1,2016.0,11650.0,Manual,18900.0,Petrol,0.0,67.3,1.0,audi
 A3,2014.0,11850.0,Manual,50900.0,Diesel,20.0,68.9,2.0,audi
 A6,2013.0,12495.0,Manual,49000.0,Diesel,325.0,,2.0,audi
 A1,2015.0,15995.0,Manual,23081.0,Petrol,,39.8,2.0,audi
 Q7,2020.0,82995.0,Semi-Auto,826.0,Diesel,145.0,29.4,4.0,audi
 A4,2019.0,25990.0,Semi-Auto,5987.0,Petrol,145.0,38.2,,audi
 A6,2019.0,30995.0,Semi-Auto,2977.0,Diesel,145.0,47.9,,audi
 Q5,2019.0,34985.0,Automatic,7573.0,Diesel,145.0,39.2,2.0,audi
 Q3,2019.0,31995.0,Manual,3055.0,Diesel,145.0,42.8,,audi
 A4,2019.0,29985.0,Automatic,22.0,Petrol,145.0,38.7,2.0,audi
 A4,,28485.0,Automatic,2250.0,Diesel,145.0,51.4,2.0,audi
 Q5,,21498.0,Semi-Auto,20547.0,Diesel,200.0,47.1,2.0,audi
 Q5,2019.0,32895.0,Automatic,10.0,,145.0,39.2,,audi
